,id,type,geometry_name,geometry.type,geometry.coordinates,properties.longitude,properties.latitude,properties.satelite,properties.pais,properties.estado,properties.municipio,properties.data_hora_gmt,properties.risco_fogo,properties.precipitacao,properties.numero_dias_sem_chuva
0,focos_ams_24h.064a7c81-dfdc-340a-b8cd-aed5f05b5b4e,Feature,geom,Point,"[-69.36, 7.82]",-69.36,7.82,GOES-16,Venezuela,Apure,Muñoz,2021-12-30T18:26:22+00:00,,,
1,focos_ams_24h.9a5984c9-3b71-393f-930e-977bc087c0a7,Feature,geom,Point,"[-69.96, 5.48]",-69.96,5.48,GOES-16,Colombia,Vichada,La Primavera,2021-12-30T18:26:06+00:00,,,
2,focos_ams_24h.45b32850-8da3-3ebd-9154-fc2e5a430538,Feature,geom,Point,"[-72.35, 3.82]",-72.35,3.82,GOES-16,Colombia,Meta,Puerto López,2021-12-30T18:25:55+00:00,,,
3,focos_ams_24h.10ef09ce-1e5d-3118-827d-26d97f994108,Feature,geom,Point,"[-71.9, 3.54]",-71.9,3.54,GOES-16,Colombia,Meta,Puerto Gaitán,2021-12-30T18:25:53+00:00,,,
4,focos_ams_24h.d946955c-02c5-3313-815d-3d28c1b97c3a,Feature,geom,Point,"[-73.56, 2.78]",-73.56,2.78,GOES-16,Colombia,Meta,Vista Hermosa,2021-12-30T18:25:47+00:00,,,
5,focos_ams_24h.6dcfb0e6-1934-38fe-acea-99788b6e7585,Feature,geom,Point,"[-73.56, 2.8]",-73.56,2.8,GOES-16,Colombia,Meta,Vista Hermosa,2021-12-30T18:25:47+00:00,,,
6,focos_ams_24h.e1ec7110-f426-39c9-970c-565ca7e04f21,Feature,geom,Point,"[-74.3, 1.45]",-74.3,1.45,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T18:25:39+00:00,,,
7,focos_ams_24h.fcfae4d6-f987-33da-85a2-a63c4b7244a3,Feature,geom,Point,"[-74.3, 1.47]",-74.3,1.47,GOES-16,Colombia,Caquetá,San Vicente del Caguán,2021-12-30T18:25:39+00:00,,,
8,focos_ams_24h.87919a62-e39e-3f8c-bc13-ea493ccddbce,Feature,geom,Point,"[-74.14, 0.58]",-74.14,0.58,GOES-16,Colombia,Caquetá,Cartagena del Chairá,2021-12-30T18:25:34+00:00,,,
9,focos_ams_24h.a09d3ffe-7cfc-3e33-892c-89b844f6a8cc,Feature,geom,Point,"[-74.16, 0.58]",-74.16,0.58,GOES-16,Colombia,Caquetá,Cartagena del Chairá,2021-12-30T18:25:34+00:00,,,
10,focos_ams_24h.39989383-e00f-375e-834d-e09a2342e8b6,Feature,geom,Point,"[-74.14, 0.57]",-74.14,0.57,GOES-16,Colombia,Caquetá,Cartagena del Chairá,2021-12-30T18:25:31+00:00,,,
11,focos_ams_24h.2ebb6dd6-2d25-3f72-9ee5-1261b6a1b302,Feature,geom,Point,"[-55.55, -2.44]",-55.55,-2.44,GOES-16,Brasil,PARÁ,SANTARÉM,2021-12-30T18:25:13+00:00,,,
12,focos_ams_24h.fe62691e-0ad1-3de7-86d0-ac1b1e163866,Feature,geom,Point,"[-55.57, -2.44]",-55.57,-2.44,GOES-16,Brasil,PARÁ,SANTARÉM,2021-12-30T18:25:13+00:00,,,
